PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Charles Bassey,SAS,22,35,9,26,507.9,199,87,135,3,8,22,37,75,118,193,48,41,16,33,-32
DeAndre Jordan,DEN,34,39,23,16,585.9,199,88,115,1,1,22,48,52,150,202,34,48,12,23,-119
Dewayne Dedmon,PHI,33,38,23,15,426.2,199,77,151,12,39,33,49,34,100,134,26,25,9,19,-124
JaVale McGee,DAL,35,42,20,22,354.5,186,80,125,2,5,24,41,30,77,107,11,36,4,26,-57
Christian Koloko,TOR,23,58,29,29,801.8,182,72,150,1,12,37,59,84,87,171,31,20,21,57,156
Luka Garza,MIN,24,28,15,13,243.4,181,63,116,14,39,41,52,33,30,63,18,14,3,2,18
Jericho Sims,NYK,24,52,31,21,812.4,178,83,107,0,1,12,16,99,143,242,25,27,15,28,-113
Goga Bitadze,ORL,23,38,13,25,456.8,167,69,125,6,26,23,42,61,76,137,39,22,16,26,26
Kai Jones,CHA,22,46,13,33,549.6,157,67,120,4,19,19,26,37,86,123,15,31,17,30,-32
Moses Brown,BKN,23,36,17,19,294.1,155,61,96,0,0,33,72,57,82,139,4,15,4,14,27
Bruno Fernando,ATL,24,39,13,26,405.1,153,59,112,0,4,35,50,54,83,137,31,25,6,34,-75
Damian Jones,UTA,28,41,12,29,477.4,142,55,86,10,17,22,29,42,80,122,15,23,8,21,-83
Nathan Knight,MIN,25,38,19,19,290.7,139,46,81,8,22,39,57,22,34,56,13,21,10,6,-9
Udoka Azubuike,UTA,23,36,17,19,358.5,125,59,72,0,0,7,20,31,88,119,11,18,6,15,-83
Gorgui Dieng,SAS,33,31,3,28,358.1,121,45,117,21,75,10,13,27,80,107,53,32,4,14,-152
Orlando Robinson,MIA,22,31,18,13,425.1,116,47,89,0,6,22,31,48,78,126,25,16,12,12,27
Robin Lopez,CLE,35,37,25,12,298.5,112,48,75,2,4,14,18,23,28,51,19,25,2,8,-58
Boban Marjanovic,HOU,34,31,7,24,171.1,102,41,60,0,1,20,27,20,40,60,9,14,5,2,66
Cody Zeller,MIA,30,15,6,9,216.6,98,37,59,0,2,24,35,25,39,64,10,14,3,4,-48
Frank Kaminsky,HOU,30,36,13,23,234.9,89,31,63,13,33,14,16,7,45,52,32,9,6,4,-4
Jay Huff,WAS,25,7,2,5,94.9,51,15,25,6,12,15,16,6,15,21,10,5,3,4,-7
Daniel Theis,IND,31,7,1,6,108.8,49,21,44,2,11,5,12,7,15,22,9,3,2,6,-19
Alex Len,SAC,30,26,15,11,161.2,43,16,30,0,2,11,16,24,36,60,12,16,4,11,19
